,x_acc,y_acc,z_acc,x_rot,y_rot,z_rot,x_mag,y_mag,z_mag
0,-0.1717352,0.0632849,-0.2656632,3.2824504,0.0526724,9.3086557,-18.0083961,-18.0084038,18.0084
1,-0.0791394,0.0868668,-0.4917567,3.2632968,0.56982,8.9758625,-18.0083961,-18.0084038,18.0084
2,-0.2775208,0.1518837,-0.3054993,3.2561142,0.6081272,8.8585463,-18.0083961,-18.0084038,18.0084
3,0.1638745,0.3244182,-0.0499617,2.8658595,-0.8738836,8.9950161,-18.0083961,-18.0084038,18.0084
4,0.0375712,-0.2196984,-0.2668623,2.360683,-0.2082956,9.2895021,-18.0083961,-18.0084038,18.0084
5,0.0237152,0.0315758,0.0728775,3.0286651,0.5291186,9.2775316,-18.0083961,-18.0084038,18.0084
6,-0.0935284,0.163608,0.1757321,3.265691,0.3016694,9.0045929,-18.0083961,-18.0084038,18.0084
7,-0.1047198,0.163608,0.2566035,2.9257145,0.1125275,9.0476885,-18.0083961,-18.0084038,18.0084
8,-0.040902,0.0350398,-0.012657,2.8299465,-0.0646434,9.0692358,-18.0083961,-18.0084038,18.0084
9,-0.0291777,-0.0049296,-0.0047963,2.7509377,0.1412579,9.0812073,-18.0083961,-18.0084038,18.0084
10,-0.0335743,0.0165207,-0.0345069,2.8395233,0.1077391,9.2727432,-18.0083961,-18.0084038,18.0084
11,-0.0522267,0.0278453,0.0122573,2.7437551,0.0957681,9.1434565,-18.0083961,-18.0084038,18.0084
12,-0.0354395,0.0315758,-0.0319755,2.7700913,0.1628057,9.1578217,-18.0083961,-18.0084038,18.0084
13,-0.0246478,0.0715452,-0.0003997,2.9759927,0.1556231,9.1721869,-18.0083961,-18.0084038,18.0084
14,-0.0171868,-0.0047963,-0.0349066,2.9065609,0.0430956,9.0548706,-18.0083961,-18.0084038,18.0084
15,-0.0438331,0.0137228,-0.0061286,2.9783869,0.2274492,9.131485,-18.0083961,-18.0084038,18.0084
16,-0.0346401,0.0333078,-0.0123905,2.7700913,0.1436521,9.1697922,-18.0083961,-18.0084038,18.0084
17,-0.0234487,0.0323752,-0.0267795,2.8299465,0.1675941,9.1721869,-18.0083961,-18.0084038,18.0084
18,-0.0631516,0.0603538,-0.0129234,2.8467059,0.1628057,9.1889458,-18.0083961,-18.0084038,18.0084
19,-0.0358392,0.0301103,-0.0173201,2.8060043,0.1604115,9.1530333,-18.0083961,-18.0084038,18.0084
20,-0.0422343,0.0182527,0.0042634,2.9041667,0.1292869,9.131485,-18.0083961,-18.0084038,18.0084
21,0.0022649,0.1573462,-0.0636846,2.9352913,0.0,9.1147261,-18.0083961,-18.0084038,18.0084
22,0.035706,0.0423675,-0.0704794,2.6862943,0.0742203,9.2464066,-18.0083961,-18.0084038,18.0084
23,0.0286447,-0.0263798,-0.0167871,3.0190883,0.3040636,9.6917286,-18.0083961,-18.0084038,18.0084
24,-0.0463645,0.1310996,0.00866,2.6551697,0.85473,10.4554784,-18.0083961,-18.0084038,18.0084
25,-0.2082405,0.2665958,0.0171868,3.2273839,0.5602432,9.7587662,-18.0083961,-18.0084038,18.0084
26,-0.2199649,0.3020354,0.0101256,2.6503813,-0.1077391,9.9526968,-18.0083961,-18.0084038,18.0084
27,-0.1501517,0.5120079,0.0207841,2.3391352,-0.4046201,9.7851019,-18.0083961,-18.0084038,18.0084
28,0.0107917,0.5631686,-0.0007994,0.8092402,-0.3806781,9.8808708,-18.0083961,-18.0084038,18.0084
29,0.0620858,0.2143692,0.0170536,1.1300632,-0.0095768,9.4403372,-18.0083961,-18.0084038,18.0084
30,0.0057289,0.7278426,-0.0798056,0.6440403,-0.3160346,9.552865,-18.0083961,-18.0084038,18.0084
31,0.0113247,0.1120475,-0.1921195,-0.6320692,-0.3016694,9.6845455,-18.0083961,-18.0084038,18.0084
32,0.0258469,0.0872665,-0.0956601,-0.0287304,0.0,9.1841574,-18.0083961,-18.0084038,18.0084
33,0.024781,0.0775406,-0.0382374,-0.2226608,-0.0167594,9.5241346,-18.0083961,-18.0084038,18.0084
34,-0.1060521,-0.2773876,-0.0158545,-0.2992752,0.0742203,9.7396126,-18.0083961,-18.0084038,18.0084
35,-0.0179862,-0.4942881,0.0814043,0.629675,-0.1029507,9.0213518,-18.0083961,-18.0084038,18.0084
36,-0.0150551,-0.2210307,0.0611532,1.508347,-0.1484405,8.5568771,-18.0083961,-18.0084038,18.0084
37,0.0476968,-0.0803385,0.0375712,1.5562311,0.3615245,8.3964653,-18.0083961,-18.0084038,18.0084
38,-0.0337075,-0.0463645,0.108317,1.4413095,0.4333505,9.1482449,-18.0083961,-18.0084038,18.0084
39,-0.0210505,-0.0554242,-0.0626187,1.3455414,0.0981623,9.3828764,-18.0083961,-18.0084038,18.0084
40,-0.0524931,0.0719449,-0.0239816,1.5035586,0.2394202,9.1961288,-18.0083961,-18.0084038,18.0084
41,0.1145789,0.0385038,0.0413017,1.4269443,-0.3375824,8.0924015,-18.0083961,-18.0084038,18.0084
42,0.0440996,-0.0502282,0.0591547,1.079785,0.794875,8.0445175,-18.0083961,-18.0084038,18.0084
43,-0.0632849,-0.0959265,-0.1485529,1.2785037,0.6871359,8.4515324,-18.0083961,-18.0084038,18.0084
44,-0.1572129,-0.0579556,-0.1521501,1.5753847,-0.1604115,8.3581581,-18.0083961,-18.0084038,18.0084
45,0.0338407,-0.1750659,-0.2061088,2.0159178,-0.6129156,9.234436,-18.0083961,-18.0084038,18.0084
46,0.0720781,-0.3730476,-0.2331548,1.7956513,0.8930372,10.3381634,-18.0083961,-18.0084038,18.0084
47,-0.0638178,-0.5333248,-0.2696601,2.6647465,1.8195933,9.7156706,-18.0083961,-18.0084038,18.0084
48,-0.1077841,-0.1967826,-0.1870567,3.632004,0.8810662,8.3342161,-18.0083961,-18.0084038,18.0084
49,-0.3655867,-0.8566772,-0.2414151,4.1587281,0.320823,8.3533697,-18.0083961,-18.0084038,18.0084
50,0.4572498,-0.5710293,-0.0041302,5.1044378,-0.6775591,7.4292078,-18.0083961,-18.0084038,18.0084
51,0.7034612,-1.0162883,0.1121807,5.425261,0.4836287,9.1937342,-18.0083961,-18.0084038,18.0084
52,0.1344304,-0.0075942,-0.0258469,5.9495912,2.396596,9.3110504,-18.0083961,-18.0084038,18.0084
53,-0.9007768,-0.7249115,0.9236926,7.9774799,0.5099649,7.5800424,-18.0083961,-18.0084038,18.0084
54,-0.0964595,0.3125607,0.0406355,3.4955344,1.8339585,9.6869402,-18.0083961,-18.0084038,18.0084
55,-0.1697367,-0.4151487,0.0274456,5.1906295,1.0103531,7.9367785,-18.0083961,-18.0084038,18.0084
56,-0.0827366,0.1049863,0.0129234,5.8705826,0.5626374,7.9679031,-18.0083961,-18.0084038,18.0084
57,-0.0183859,-0.0435666,0.0026646,4.8075571,0.6919243,8.3677349,-18.0083961,-18.0084038,18.0084
58,0.0377045,-0.0488959,-0.0406355,5.4922986,0.7613561,8.9040365,-18.0083961,-18.0084038,18.0084
59,-0.0075942,0.0033308,-0.0190521,6.5313821,1.1587936,10.2471828,-18.0083961,-18.0084038,18.0084
60,-0.1799955,0.9251581,0.0716784,6.2608376,0.9193734,9.1889458,-18.0083961,-18.0084038,18.0084
61,-0.1742665,0.6961336,-0.0503614,3.430891,0.1388637,9.4092131,-18.0083961,-18.0084038,18.0084
62,-0.0057289,0.4493892,-0.0851348,4.6615109,0.7062895,9.3014736,-18.0083961,-18.0084038,18.0084
63,-0.1144457,1.476336,0.1215069,4.0438066,0.2226608,8.2863321,-18.0083961,-18.0084038,18.0084
64,-0.0546248,0.5029482,-0.0619525,1.055843,0.3854665,9.8425636,-18.0083961,-18.0084038,18.0084
65,-0.0174533,0.2272926,-0.0563568,1.685518,0.5051765,8.6430683,-18.0083961,-18.0084038,18.0084
66,-0.0510276,0.6253877,0.1609434,1.4867992,0.5315128,8.2168999,-18.0083961,-18.0084038,18.0084
67,-0.090997,0.4576495,0.2743232,0.1891419,0.3112462,8.5473003,-18.0083961,-18.0084038,18.0084
68,-0.0568898,-0.0760751,0.0847351,0.28491,0.4477157,8.0684595,-18.0083961,-18.0084038,18.0084
69,0.0177198,0.2284917,-0.0373048,0.6703765,0.3591303,8.3318214,-18.0083961,-18.0084038,18.0084
70,-0.0187856,-0.0303767,0.0628852,0.0837971,0.3878607,9.3349924,-18.0083961,-18.0084038,18.0084
71,-0.0580888,-0.0207841,-0.0790062,0.8834604,-0.0071826,9.179369,-18.0083961,-18.0084038,18.0084
72,0.0630184,0.1628086,-0.135363,0.3375824,0.2274492,9.3421755,-18.0083961,-18.0084038,18.0084
73,-0.0832696,-0.2374182,0.0142557,-0.0071826,0.4285621,9.3278103,-18.0083961,-18.0084038,18.0084
74,-0.0022649,-0.3393401,0.1067183,1.4437037,0.320823,8.2360535,-18.0083961,-18.0084038,18.0084
75,-0.0666156,-0.1380276,0.3070981,0.7565677,0.1508347,7.3454108,-18.0083961,-18.0084038,18.0084
76,0.2699266,-0.3129603,-0.1721348,1.2785037,1.1061212,7.8841062,-18.0083961,-18.0084038,18.0084
77,0.6812116,-1.0432011,0.0302435,2.2529438,3.4141316,9.3158388,-18.0083961,-18.0084038,18.0084
78,-0.0618193,0.1376279,0.1901211,4.4005427,1.8626889,9.2799253,-18.0083961,-18.0084038,18.0084
79,-0.3733141,-0.2216969,-0.0234487,2.054225,1.4197617,11.3556993,-18.0083961,-18.0084038,18.0084
80,-0.4397965,-0.3302804,-0.0215835,3.3782187,0.6153098,9.5241346,-18.0083961,-18.0084038,18.0084
81,-0.5541089,-0.468308,-0.0011991,3.1459811,0.641646,10.1155031,-18.0083961,-18.0084038,18.0084
82,-0.3264167,-0.3432038,-0.2692604,2.3199813,0.071826,11.2551427,-18.0083961,-18.0084038,18.0084
83,-0.0899311,0.0838025,-0.1024549,4.0916905,0.1077391,9.7060938,-18.0083961,-18.0084038,18.0084
84,-0.0844686,-0.0201179,-0.1217734,3.8833952,-0.1077391,9.0021982,-18.0083961,-18.0084038,18.0084
85,-0.103654,0.6437737,0.2468776,3.940856,-0.059855,8.9207954,-18.0083961,-18.0084038,18.0084
86,0.0183859,-0.158412,-0.2110384,2.360683,-0.5674258,9.5744123,-18.0083961,-18.0084038,18.0084
87,0.0687473,0.3097627,-0.0527596,3.1220391,0.225055,9.1219082,-18.0083961,-18.0084038,18.0084
88,0.0209173,0.2812513,-0.0715452,3.2968156,0.2466028,9.1266966,-18.0083961,-18.0084038,18.0084
89,-0.028245,0.2548715,0.0554242,3.3446999,0.2896984,8.9495258,-18.0083961,-18.0084038,18.0084
90,-0.2880461,0.6328486,0.1145789,2.8730421,0.1675941,9.1482449,-18.0083961,-18.0084038,18.0084
91,-0.0414349,0.185458,-0.1525498,1.2497733,-0.6392518,9.8425636,-18.0083961,-18.0084038,18.0084
92,0.0487627,0.0739434,-0.0480965,1.9273324,-0.1292869,9.2942905,-18.0083961,-18.0084038,18.0084
93,0.0314426,-0.0190521,-0.0427672,1.0773908,-0.0023942,9.5145578,-18.0083961,-18.0084038,18.0084
94,0.0720781,-0.1624089,-0.0672818,1.8483237,0.1675941,9.2009172,-18.0083961,-18.0084038,18.0084
95,0.0642175,-0.4540523,-0.1314993,2.8491001,-0.0143652,9.1769753,-18.0083961,-18.0084038,18.0084
96,-0.0023982,-0.3543952,-0.0429005,3.0980971,0.2106898,9.258378,-18.0083961,-18.0084038,18.0084
97,-0.0908637,-0.3786433,-0.0550245,3.1292217,0.8164227,9.2631664,-18.0083961,-18.0084038,18.0084
98,-0.0618193,-0.3850385,0.146288,3.9743748,0.1484405,8.7603836,-18.0083961,-18.0084038,18.0084
99,-0.0303767,0.3008363,-0.0792726,3.3375173,0.1340753,8.8346043,-18.0083961,-18.0084038,18.0084
100,0.0762083,-0.0575559,-0.2407489,2.8060043,0.3639187,9.2224646,-18.0083961,-18.0084038,18.0084
101,-0.0423675,0.1492191,-0.028245,3.3997664,0.7062895,9.0452938,-18.0083961,-18.0084038,18.0084
102,0.012124,0.0157213,-0.0206508,3.2034419,0.4501099,9.1290913,-18.0083961,-18.0084038,18.0084
103,-0.0976585,0.0686141,-0.0538254,3.4644098,0.7278373,8.8944597,-18.0083961,-18.0084038,18.0084
104,-0.0584885,0.0133231,-0.0683477,3.1723173,0.2082956,9.0668421,-18.0083961,-18.0084038,18.0084
105,-0.0241149,0.0255804,-0.0393032,3.2345665,0.5051765,9.0069866,-18.0083961,-18.0084038,18.0084
106,-0.0739434,0.0039969,-0.0203844,3.3063924,0.3519476,8.9136133,-18.0083961,-18.0084038,18.0084
107,-0.0403691,-0.019585,-0.0218499,3.3087866,0.4596867,9.0548706,-18.0083961,-18.0084038,18.0084
